timestamp,user_id,user_role,ip_address,geo_location,device_type,os,login_status,failed_attempts,session_duration_sec,accessed_resource,data_transfer_mb,request_frequency,unusual_time_access,vpn_used,threat_signature,risk_score,label
2026-04-19 06:08:48.816559,U5135,guest,170.110.165.24,Tokyo-Japan,desktop,Android,failed,10,54,api_gateway,76.21,87,1,yes,sql_injection,100,anomaly
2026-04-19 06:08:50.816559,U3829,admin,141.202.123.121,Mumbai-India,mobile,Windows,success,2,139,api_gateway,15.07,6,0,no,normal,16,normal
2026-04-19 06:09:06.816559,U2926,admin,41.216.198.169,Pune-India,mobile,Linux,success,1,596,user_data,19.66,7,1,no,normal,32,normal
2026-04-19 06:08:57.816559,U3058,employee,41.46.11.1,Berlin-Germany,server,Linux,failed,1,528,db_server,12.41,27,0,no,normal,20,normal
2026-04-19 06:09:20.816559,U1295,admin,207.203.180.157,Delhi-India,server,Windows,success,0,83,api_gateway,9.56,8,1,no,normal,25,normal
2026-04-19 06:09:13.816559,U4828,admin,206.199.194.73,Berlin-Germany,desktop,Windows,success,2,126,db_server,3.04,5,0,no,normal,13,normal
2026-04-19 06:09:30.816559,U3883,employee,96.28.72.53,Pune-India,server,Android,success,2,411,db_server,6.04,19,0,yes,normal,40,normal
2026-04-19 06:09:37.816559,U3957,admin,244.125.30.178,Pune-India,desktop,Windows,success,0,140,db_server,15.86,6,1,no,normal,26,normal
2026-04-19 06:09:36.816559,U6366,guest,124.180.132.100,Mumbai-India,mobile,Android,success,0,106,user_data,1.54,6,1,no,normal,23,normal
2026-04-19 06:10:18.816559,U8063,employee,167.26.196.51,Berlin-Germany,mobile,iOS,failed,1,534,api_gateway,13.9,6,0,yes,normal,30,normal
2026-04-19 06:10:28.816559,U8323,guest,37.72.71.220,Mumbai-India,mobile,Android,failed,0,241,payment_system,19.15,11,1,yes,normal,49,normal
2026-04-19 06:08:59.816559,U1732,admin,73.66.161.204,Delhi-India,server,Android,success,2,150,api_gateway,5.97,5,1,no,normal,33,normal
2026-04-19 06:10:24.816559,U7075,guest,19.227.175.142,Pune-India,mobile,Linux,success,0,453,payment_system,18.94,20,0,no,normal,13,normal
2026-04-19 06:09:40.816559,U3457,employee,87.150.189.42,Berlin-Germany,server,iOS,success,1,327,payment_system,15.93,18,0,yes,normal,37,normal
2026-04-19 06:09:58.816559,U5665,employee,46.134.89.34,Mumbai-India,desktop,Android,success,2,72,payment_system,16.19,13,0,no,normal,19,normal
2026-04-19 06:09:03.816559,U2202,employee,229.211.156.71,Pune-India,mobile,Windows,success,0,405,api_gateway,18.09,23,1,yes,normal,55,normal
2026-04-19 06:11:28.816559,U6871,admin,80.129.145.33,Mumbai-India,desktop,Windows,success,2,159,internal_dashboard,12.55,16,0,no,normal,20,normal
2026-04-19 06:11:04.816559,U8866,admin,61.179.135.65,Mumbai-India,desktop,iOS,failed,1,587,internal_dashboard,19.04,17,1,no,normal,37,normal
2026-04-19 06:09:24.816559,U9201,guest,222.126.105.110,Mumbai-India,mobile,iOS,success,2,451,api_gateway,2.52,20,0,yes,normal,40,normal
2026-04-19 06:10:04.816559,U6325,employee,80.224.153.173,Delhi-India,desktop,Windows,failed,7,4,internal_dashboard,267.39,166,1,yes,sql_injection,100,anomaly
2026-04-19 06:11:48.816559,U1260,guest,198.87.212.116,Pune-India,server,iOS,success,2,96,user_data,4.84,26,0,no,normal,23,normal
2026-04-19 06:09:51.816559,U1950,admin,194.39.168.93,NY-USA,mobile,Linux,failed,0,310,api_gateway,5.45,16,0,yes,normal,29,normal
2026-04-19 06:11:22.816559,U7032,employee,2.69.143.119,Tokyo-Japan,desktop,Android,failed,9,26,user_data,418.63,197,1,yes,sql_injection,100,anomaly
2026-04-19 06:11:29.816559,U4027,admin,194.210.124.85,Mumbai-India,desktop,Android,failed,1,512,payment_system,12.53,17,1,no,normal,36,normal
2026-04-19 06:11:36.816559,U5793,guest,144.80.200.237,Mumbai-India,desktop,Linux,failed,1,393,user_data,14.09,8,1,no,normal,31,normal
2026-04-19 06:11:18.816559,U8233,admin,238.186.109.232,Tokyo-Japan,desktop,Windows,failed,2,429,db_server,4.08,27,0,yes,normal,44,normal
2026-04-19 06:12:16.816559,U1778,guest,159.159.11.116,Pune-India,desktop,Windows,failed,2,73,db_server,7.91,12,0,no,normal,17,normal
2026-04-19 06:09:15.816559,U1617,guest,139.116.8.101,Mumbai-India,server,Linux,failed,2,307,payment_system,15.69,25,0,no,normal,25,normal
2026-04-19 06:13:28.816559,U1121,admin,121.180.143.178,NY-USA,desktop,Linux,success,0,447,user_data,2.82,16,1,no,normal,28,normal
2026-04-19 06:13:09.816559,U2642,admin,79.246.235.160,Berlin-Germany,desktop,iOS,success,2,365,api_gateway,18.17,11,1,no,normal,39,normal
2026-04-19 06:12:48.816559,U9063,admin,134.165.187.41,Berlin-Germany,mobile,iOS,failed,10,24,internal_dashboard,293.95,199,1,yes,brute_force,100,anomaly
2026-04-19 06:09:50.816559,U8665,guest,104.113.59.102,Mumbai-India,desktop,iOS,success,1,99,user_data,19.37,13,0,no,normal,15,normal
2026-04-19 06:13:36.816559,U5340,admin,194.143.211.119,NY-USA,server,Windows,failed,11,39,payment_system,358.39,198,1,yes,malware,100,anomaly
2026-04-19 06:09:54.816559,U9962,admin,184.51.18.248,Delhi-India,mobile,Android,success,1,426,api_gateway,18.02,30,1,no,normal,43,normal
2026-04-19 06:10:30.816559,U4801,employee,218.42.138.184,Pune-India,server,Linux,success,2,90,payment_system,6.35,25,0,yes,normal,43,normal
2026-04-19 06:10:33.816559,U5798,employee,8.10.15.106,Pune-India,server,Linux,success,2,412,internal_dashboard,10.92,23,1,no,normal,43,normal
2026-04-19 06:10:00.816559,U9034,admin,126.64.130.237,Mumbai-India,mobile,Linux,success,0,172,api_gateway,18.33,5,0,no,normal,6,normal
2026-04-19 06:13:44.816559,U6980,employee,250.61.180.179,Mumbai-India,desktop,iOS,success,0,488,payment_system,13.56,28,1,no,normal,36,normal
2026-04-19 06:11:58.816559,U6266,admin,153.62.190.24,Delhi-India,desktop,iOS,success,0,504,payment_system,18.23,8,0,no,normal,7,normal
2026-04-19 06:12:03.816559,U2199,guest,2.46.151.249,NY-USA,mobile,iOS,success,1,66,user_data,5.47,29,1,no,normal,40,normal
2026-04-19 06:13:28.816559,U6580,guest,238.195.236.0,Pune-India,mobile,Linux,failed,0,523,user_data,9.03,20,0,no,normal,11,normal
2026-04-19 06:10:51.816559,U1395,employee,218.174.89.131,Tokyo-Japan,mobile,Windows,failed,1,354,payment_system,4.19,26,0,yes,normal,38,normal
2026-04-19 06:12:18.816559,U9898,admin,70.133.241.6,Pune-India,desktop,Windows,success,1,470,user_data,6.47,15,0,yes,normal,33,normal
2026-04-19 06:13:49.816559,U8862,admin,249.179.188.92,Tokyo-Japan,server,iOS,failed,2,285,db_server,8.78,19,0,no,normal,21,normal
2026-04-19 06:09:32.816559,U9932,employee,132.2.113.128,Delhi-India,mobile,Android,failed,1,89,api_gateway,1.51,29,0,yes,normal,39,normal
2026-04-19 06:14:03.816559,U2056,employee,149.158.221.82,Mumbai-India,server,Linux,failed,1,451,internal_dashboard,11.41,8,1,no,normal,31,normal
2026-04-19 06:15:42.816559,U1466,employee,61.93.16.23,Delhi-India,mobile,Windows,failed,10,38,api_gateway,222.63,177,1,yes,sql_injection,100,anomaly
2026-04-19 06:15:04.816559,U6408,admin,95.22.95.203,Berlin-Germany,mobile,iOS,success,1,298,payment_system,15.33,30,1,no,normal,43,normal
2026-04-19 06:12:00.816559,U3889,employee,6.156.21.70,NY-USA,mobile,Linux,failed,5,28,payment_system,279.12,155,1,yes,brute_force,100,anomaly
2026-04-19 06:15:20.816559,U4523,guest,116.46.86.34,Pune-India,mobile,Android,failed,9,56,user_data,432.64,187,1,yes,sql_injection,100,anomaly
2026-04-19 06:13:48.816559,U2540,employee,206.125.196.111,NY-USA,server,Android,failed,15,48,db_server,340.9,187,1,yes,brute_force,100,anomaly
2026-04-19 06:11:21.816559,U2465,admin,61.19.6.224,Tokyo-Japan,desktop,Android,failed,1,483,user_data,11.89,24,0,no,normal,19,normal
2026-04-19 06:10:32.816559,U7896,admin,199.18.132.204,Tokyo-Japan,desktop,iOS,failed,0,282,api_gateway,19.17,19,0,yes,normal,33,normal
2026-04-19 06:11:27.816559,U5774,admin,8.236.122.119,Delhi-India,mobile,Android,success,0,231,db_server,9.37,25,1,no,normal,34,normal
2026-04-19 06:10:36.816559,U1615,employee,248.169.149.194,Berlin-Germany,mobile,Windows,failed,14,20,db_server,438.41,130,1,yes,sql_injection,100,anomaly
2026-04-19 06:17:58.816559,U7429,admin,33.93.104.107,Delhi-India,mobile,Android,success,0,468,db_server,2.87,8,0,no,normal,4,normal
2026-04-19 06:18:08.816559,U8729,guest,133.173.145.165,Tokyo-Japan,mobile,Android,success,1,565,api_gateway,4.6,23,0,no,normal,17,normal
2026-04-19 06:10:42.816559,U5474,admin,56.183.77.45,Berlin-Germany,desktop,Windows,success,0,586,user_data,19.45,10,1,no,normal,28,normal
